NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190005158763,2019,2506004,Esperança,25,PB,18,M,1,3,1,2506004.0,Esperança,25.0,PB,2,0,2,1.0,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,1,1,1,1,505.0,510.0,513.0,518.0,500.4,573.7,519.6,451.3,AEDCBEBCDDCCDBBAAEABBDCCCDAAADEBDDECEAEDEDCDE,AEDCAEDBADBEABDBCAADEEDCBCBCEACDCACCAAECEBDCE,99999EAACDBBCCECBACEBCDDBDAADADCADECCCBEBDBCBACCDC,DBACABAEEAADAACACDCBEDEBEACABDDCCBDDCEAEBDDEE,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,120.0,140.0,120.0,120.0,160.0,660.0,C,E,B,B,3,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,A
190005161803,2019,2506004,Esperança,25,PB,17,F,1,3,2,,,,,2,0,2,1.0,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,C,A,A,7,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
190005170907,2019,2506004,Esperança,25,PB,18,M,1,3,1,2506004.0,Esperança,25.0,PB,2,0,2,1.0,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,1,1,1,1,506.0,508.0,512.0,517.0,514.9,508.8,458.6,491.2,DACDABDDEBEEBEABCBBBEABEAEABBEDEBBEDCADAEBEEC,CECCADDACAAEACDADADADBBDAACBABBCBBEACABADCAAB,99999EBAABCBCBDEECDDEADAEEDCDACCAAECDDBBCAEAABCCAE,CBDADADABABCDDACACCCADEECCAEABCDCAD*DCECBAEDA,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,120.0,100.0,80.0,80.0,60.0,440.0,B,B,C,B,2,B,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,B,A,A,A
190005171146,2019,2506004,Esperança,25,PB,19,M,1,2,1,2506004.0,Esperança,25.0,PB,2,0,2,1.0,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,1,1,1,1,504.0,509.0,514.0,516.0,492.8,561.9,534.3,392.8,CBCCEEDAADBDDBDBCEDEAAEEDBCEEACBCDECEBABCBCAC,DAACBBAEABACBDBABACABBACCCAAACEEBACEAAABCAADD,99999ACADABBABCBEDEDDAADAEAEDDCAEEAEBBCAABCEABCAEB,CDEACBBBADCCABCEABEEDDADCDECAABADAABBDCBCADEB,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,140.0,100.0,160.0,140.0,660.0,H,B,B,A,6,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
190005177182,2019,2506004,Esperança,25,PB,20,M,1,1,1,2506004.0,Esperança,25.0,PB,2,0,2,1.0,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,1,1,1,1,506.0,510.0,513.0,517.0,357.0,371.7,480.9,424.5,ABEACACDECACBDCDDAACDABBDBDBDABDADECBBEBADBEE,ACDBEBACAAABBCDEBDCADBAABCCBBCDECBEAACACACDBE,99999DEABECAECEBCAECBBBAEAADCCCAEEDBBCDBAEACBEABDB,BCADEAEBABCABDEBBCEDBBADECACDEAEADBCEAABCBACB,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,80.0,120.0,100.0,100.0,80.0,480.0,C,C,F,F,3,B,A,C,C,A,B,B,A,B,A,B,A,A,B,A,A,D,B,B,B
190005180295,2019,2506004,Esperança,25,PB,19,M,1,1,1,2506004.0,Esperança,25.0,PB,2,0,2,1.0,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,1,1,1,1,504.0,508.0,512.0,516.0,527.0,580.7,533.9,633.8,EBACAEBBEADDEADACECDDADEBEAEACEDBDAEDBABDBCAB,ABCBABBBCAEEBCBBAABCDEBDAADAADCCAEABCCBABACEB,BCEBA99999ADABCDCCAAAAECDCDBEDCEBBDADDCDEDEECAADCA,BADECBABDEBBAECBBBEBECEEAECADABDADACCBABAEBBC,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,180.0,140.0,120.0,120.0,680.0,E,E,B,B,9,B,A,B,C,A,A,B,A,B,A,A,A,A,C,A,A,C,A,A,A
190005183382,2019,2506004,Esperança,25,PB,17,M,1,3,1,2506004.0,Esperança,25.0,PB,2,0,2,1.0,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,1,1,1,1,505.0,508.0,512.0,518.0,396.4,400.9,495.4,443.2,BCDBCDCBCAEDDADCDADBDDBEACBBDBCACABBDEEADBDDC,DBDBCBADECBBCEDADBCDDDAADCCDBBCDCDCBCDBDBDDBE,99999ADBEDCBABCACBDECCDADBDEAEDBCDAECDCBBCACCBDABC,CECCDDBAECBDEDBBACBBECADBCCADAABAABDBBCDCECDA,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,100.0,120.0,100.0,120.0,0.0,440.0,B,H,B,A,3,A,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A
190005183795,2019,2506004,Esperança,25,PB,32,F,1,2,1,2506004.0,Esperança,25.0,PB,2,0,2,,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,C,F,B,3,C,A,B,C,A,A,B,A,A,A,B,A,A,B,B,A,C,A,A,A
190002207853,2019,2506004,Esperança,25,PB,18,F,1,3,1,2506004.0,Esperança,25.0,PB,2,0,2,1.0,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,1,1,1,1,504.0,509.0,514.0,516.0,359.3,482.9,490.6,467.3,EBCDEEDBEABEBAAABECDDDDECBCEBCDDEEBBDDDECBEDD,CCBBCEBCAADCACAABBCCBECBDCBABBAAADBEABADBAAEA,ABBBB99999ECACBBEAEBDAADADDECEECDAEBECCDCDEECABEAE,BBAEDAEEDEBCACEBDBEBDBBCBABBAACBEBAABEACDEBAB,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,120.0,120.0,160.0,100.0,620.0,H,B,F,F,5,B,A,B,C,A,B,B,B,A,A,B,A,A,C,B,A,C,A,A,B
190002215729,2019,2506004,Esperança,25,PB,47,F,2,3,1,3301702.0,Duque de Caxias,33.0,RJ,2,0,2,,0,25061720.0,2506004.0,Esperança,25.0,PB,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506004,Esperança,25,PB,1,1,1,1,506.0,508.0,512.0,517.0,488.3,504.8,433.8,378.3,ECCDBCACADEDBACEACEEAEEDDDABACDDBDEDDCBBDECEA,ABADCDDDCACACEABDDECADDDEADDBBEDBDCBCDDAECCBC,99999DDBDBBEDEDDECCBCEEACABEEEAABDAACEAAEABECAEDBA,DECBCCDCBDECCCCCCDCADAADDCABBCEEBAEADCCCDDECC,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,100.0,40.0,40.0,80.0,0.0,260.0,A,A,A,A,3,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
